row,column,ha_id_number,plot,ranch,bdffp_reserve_no,habitat
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
B,3,9,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
C,5,10,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
A,10,11,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
C,5,12,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
A,7,13,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
C,6,14,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
D,7,15,2107,DIM,2107,1-ha
C,9,16,2107,DIM,2107,1-ha
C,9,16,2107,DIM,2107,1-ha
C,9,16,2107,DIM,2107,1-ha
C,9,16,2107,DIM,2107,1-ha
C,9,16,2107,DIM,2107,1-ha
C,9,16,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
A,9,17,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,2,18,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,1,19,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
C,5,20,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
A,8,21,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
C,7,22,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
E,4,23,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,3,24,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
B,1,25,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,1,26,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
C,9,27,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
A,9,28,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
E,1,29,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
A,7,30,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
E,1,31,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
B,7,32,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
A,7,33,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,8,34,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
C,1,35,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
A,10,36,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,10,37,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
C,9,38,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
E,4,40,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
D,5,41,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,6,42,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,43,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
C,8,44,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
E,2,45,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
C,6,46,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,6,47,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,2,48,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,8,49,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,6,50,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
D,7,51,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
C,8,52,2107,DIM,2107,1-ha
D,3,53,2107,DIM,2107,1-ha
D,3,53,2107,DIM,2107,1-ha
D,3,53,2107,DIM,2107,1-ha
D,3,53,2107,DIM,2107,1-ha
D,3,53,2107,DIM,2107,1-ha
D,3,53,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
C,7,54,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
D,8,55,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
B,6,56,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
C,5,57,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
B,6,58,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
D,3,59,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,1,60,2107,DIM,2107,1-ha
B,4,61,2107,DIM,2107,1-ha
B,4,61,2107,DIM,2107,1-ha
B,4,61,2107,DIM,2107,1-ha
B,4,61,2107,DIM,2107,1-ha
B,4,61,2107,DIM,2107,1-ha
B,4,61,2107,DIM,2107,1-ha
